accession,title,organism,platform_type,gpl,n_samples_total,n_cases,n_controls,tissue,has_healthy_ctrl,notes,query_source,summary_excerpt
GSE175457,Functional Validation of Common Idiopathic Pulmonary Fibrosis Genetic Risk Variants [mRNA sequencing],Homo sapiens,,24676,422,,,,,,rnaseq,"Rationale: To identify functionally relevant common genetic risk variants associated with idiopathic pulmonary fibrosis (IPF), we performed expression quantitative trait loci (eQTL) and methylation qu"
GSE175458,Functional Validation of Common Idiopathic Pulmonary Fibrosis Genetic Risk Variants [850k methylation arrays],Homo sapiens,,21145,547,,,,,,broad,"Rationale: To identify functionally relevant common genetic risk variants associated with idiopathic pulmonary fibrosis (IPF), we performed expression quantitative trait loci (eQTL) and methylation qu"
GSE175459,Functional Validation of Common Idiopathic Pulmonary Fibrosis Genetic Risk Variants,Homo sapiens,,21145;24676,969,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE175900,Humanized mice for investigating SARS-CoV-2 lung infection and associated human immune responses,Homo sapiens,,24676,3,,,,,,rnaseq,There is an urgent need for animal models of COVID-19 to study immunopathogenesis and test therapeutic intervenes. In this study we showed that NSG mice engrafted with human lung (HL) tissue (NSG-L) c
GSE176001,Pulmonary fibrosis distal airway epithelia are dynamically and structurally dysfunctional,Homo sapiens,,24676,21,,,,,,rnaseq,To identify genes regulating the jamming transition in healthy distal airway epithelia compared to the dysregulated state in idiopathic pulmonary fibrosis epithelia (IPF) we analyzed RNA from three (3
GSE178518,Saracatinib inhibits TGF-β–induced phenotypic changes in human lung fibroblasts,Homo sapiens,,24676,30,,,,,,rnaseq,"Idiopathic Pulmonary Fibrosis (IPF) is a chronic, progressive, and often fatal disorder. Using an in-silico data-driven approach, we identified a robust connection between the transcriptomic perturbat"
GSE179445,Integrative multi-omics approach for mechanism of humidifier disinfectant-associated lung injury [human],Homo sapiens,,16686,19,,,,,,array,"Inhalation of toxic chemicals, including recent e-cigarettes, often cause life-threatening lung injury. Although exposure to polyhexamethylene guanidine (PHMG)-containing humidifier disinfectant (HD) "
GSE17978,Genomic Phenotype Of Non-Cultured IPF Fibroblasts,Homo sapiens,,8903,58,,,,,,array,The activated fibroblast is the central effector cell for the progressive fibrotic process that characterizes idiopathic pulmonary fibrosis (IPF). An understanding of the genomic phenotype of this cel
GSE180139,single-cell RNA-seq of murine and human lungs by TAS-Seq,Homo sapiens; Mus musculus,,24247;24676,3,,,,,,rnaseq,Single-cell RNA-sequencing (scRNA-seq) is valuable for analyzing cellular heterogeneity. Cell composition accuracy is critical for analyzing cell-cell interaction networks from scRNA-seq data because 
GSE180149,single-cell RNA-seq by TAS-Seq,Mus musculus; Homo sapiens,,24247;24676,5,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE180415,Transcriptomic and epigenetic profiling of fibroblasts in Idiopathic Pulmonary Fibrosis (IPF) [RNA-seq],Homo sapiens,,20301,9,,,,,,rnaseq,RNA sequencing was used to identify differentially expressed genes (DEGs) which could reflect early disease in IPF.
GSE181472,Effects of nintedanib on unstimulated and stimulated macrophages from human monocytes in single culture and in co-cultur,Homo sapiens,,24676,48,,,,,,rnaseq,Macrophages have emerged as important cells in both promoting and resolving tissue fibrosis. It is thought that macrophages can execute these functionally opposing phenotypes as a result of their abil
GSE184316,Lung microenvironments and disease progression in fibrotic hypersensitivity pneumonitis,Homo sapiens,,17303,100,,,,,,broad,Rationale: Fibrotic hypersensitivity pneumonitis (fHP) is an interstitial lung disease caused by sensitization to an inhaled allergen. Objectives: We aimed to identify the molecular determinants assoc
GSE184356,Impaired TFAM expression promotes mitochondrial damage to drive fibroblast activation and fibrosis in systemic sclerosis,Homo sapiens,,24676,12,,,,,,rnaseq,Objectives: The transcription factor TFAM is controlling the transcription of core proteins required for mitochondrial homeostasis. The aim of the current study was to investigate changes in TFAM expr
GSE185259,Differences between fibroblasts derived from normal and IPF lungs,Homo sapiens,,16791,2,,,,,,rnaseq,"Objective: To evaluate the characteristics of IPF lungs in fibroblasts, we performed RNA-Sequencing of fibroblasts derived from normal and IPF lungs Method:　NHLF（Normal human lung fibroblast）　and DHLF"
GSE185492,RNA sequencing of gene expression in fibroblasts derived from idiopathic pulmonary fibrosis and control lungs,Homo sapiens,,24676,24,,,,,,rnaseq,RNA sequencing has been performed to investigate the transcriptomic profile of fibroblasts derived from apical and basal regions of idiopathic pulmonary fibrosis (IPF) and control (CTR) lungs. Lung fi
GSE185657,Differential effect of SARS-CoV-2 spike glycoprotein 1 on human bronchial and alveolar lung mucosa models: Implications ,Homo sapiens,,18573,24,,,,,,rnaseq,The SARS-CoV-2 spike protein mediates attachment of the virus to host cell receptor and fusion between the virus and cell membrane. The S1 subunit of the spike glycoprotein (S1 protein) contains the a
GSE185691,Differential Lysotracker Uptake Defines Two Populations of Distal Epithelial Cells in Idiopathic Pulmonary Fibrosis,Homo sapiens,,20844,14,,,,,,array,For this project alveolar epithelial type-II cells (AT-II) were FACS sorted from 8 donor lungs and 6 fibrotic lungs. The main goals of this experiment is to identify differences in transcriptional pro
GSE185698,Next Generation Sequencing of H292 cell line cultured with CAFs CM or SL-CAFs CM,Homo sapiens,,24676,6,,,,,,rnaseq,"Cancer cell radioresistance is the primary cause of the decreased curability of non-small cell lung cancer (NSCLC) observed in patients receiving definitive radiotherapy (RT). Following RT, a set of m"
GSE188464,Disease-specific transcriptomic changes induced by NFκB inhibition in idiopathic pulmonary fibrosis,Homo sapiens,,24676,48,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is a progressive fibrotic lung disease of unknown etiology and poor prognosis. In IPF, aberrant extracellular matrix production by activated, hyperproliferative fib"
GSE189537,TGF-beta treated airway epithelium,Homo sapiens,,11154,3,,,,,,rnaseq,"Despite being exposed to respiratory syncytial virus (RSV) infection multiple times in our lives, infants, older-adults, and immunocompromised patients are vulnerable to RSV-associated severe diseases"
GSE190889,Single cell RNA Sequencing Identifies G-protein Coupled Receptor 87 as a Basal Cell Marker Expressed in Distal Honeycomb,Homo sapiens,,24676,6,,,,,,rnaseq,Idiopathic Pulmonary Fibrosis (IPF) is a devastating and life-threatening lung disease characterized by epithelial reprogramming and increased extracellular matrix deposition leading to loss of lung f
GSE191279,Mapping of matrsisome production by alveolar epithelial cells cultured in decellularized human lung scaffolds,Homo sapiens,,24676,71,,,,,,rnaseq,"The alveolar epithelial cells are known producers of basement membrane components of the ECM, we hypothesize that they may also contribute substantially to remodeling of interstitial ECM in the alveol"
GSE195770,Idiopathic pulmonary fibrosis (IPF),Homo sapiens,,20844,8,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) is a disease related to AT2 cell. We used flow cytometry to analyze the epithelial component of donor and IPF lungs. From the live cells, we first excluded the CD31"
GSE198153,Alveolar basal cells differentiate towards secretory epithelial and aberrant basaloid cells in vitro,Homo sapiens,,24676,4,,,,,,rnaseq,"We performed a single-cell transcriptome analysis of alveolar basal cells from peripheral lung tissue of patients with idiopathic pulmonary fibrosis (IPF), cultured in DMEM or Cnt-PR-A growth medium."
GSE199152,"Next Generation Sequencing Quantitative Analysis of RA-UIP, IPF-UIP, and Non-UIP Patient Lung Biopsy Transcriptomes",Homo sapiens,,16791,27,,,,,,rnaseq,"Purpose: The goal of this study is to compare transcriptome profiling (RNA-seq) of lung tissue biopsies derived from patients with idiopathic pulmonary fibrosis (IPF or IPF-UIP), or rheumatoid arthrit"
GSE19976,Gene expression analysis of lung biopsies from patients with two different forms of pulmonary sarcoidosis,Homo sapiens,,6244,15,,,,,,array,"Approximately 60-70% of patients with pulmonary sarcoidosis have a good outcome, with disease that resolves spontaneously. It is unclear why some patients progress to fibrotic disease, and there is cu"
GSE199949,Central Lung Gene Expression Associates with Myofibroblast Activity in Idiopathic Pulmonary Fibrosis,Homo sapiens,,20301,42,,,,,,rnaseq,"Non-fibrotic central regions of IPF lungs demonstrate massive dysregulated gene expression involving enhanced T-cell differentiation, pulmonary fibrosis idiopathic, and wound healing pathways. Enhance"
GSE201121,Integrative genetic and genomic networks identify microRNA associated with COPD and ILD,Homo sapiens,,10999;11154,371,,,,,,broad,Chronic obstructive pulmonary disease (COPD) and interstitial lung disease (ILD) are clinically and molecularly heterogeneous diseases. We utilized clustering and integrative network analyses to eluci
GSE201772,Dynamically Upregulated Mast Cell CPA3 Patterns in lung disease,Homo sapiens,,18573,8,,,,,,rnaseq,"The mast cell-specific metalloprotease CPA3 has been given important roles in lung tissue homeostasis and disease pathogenesis. However, the dynamics and spatial distribution of mast cells CPA3 expres"
GSE203547,"An herbal medicine-based formula affected the epithelial cell line, BEAS-2B, genes expression.",Homo sapiens,,24676,4,,,,,,rnaseq,"Coronavirus Disease 2019 (COVID-19) remains a threat on the fatal ARDS with an incidence rate of 41.8%, or irreversible pulmonary fibrosis, without specific effective therapeutic drugs. The infection "
GSE2052,IPF versus Control,Homo sapiens,,1739,26,,,,,,array,Archived lung tissues of patients with IPF were obtained from the tissue bank of the Department of Pathology at the University of Pittsburgh. The diagnosis of IPF was confirmed by open lung biopsy. Al
GSE205523,Transcriptome analysis of regional idiopathic pulmonary fibrosis airway epithelial cultures,Homo sapiens,,24676,80,,,,,,rnaseq,We performed RNA sequencing of idiopathic pulmonary fibrosis (IPF) epithelia obtained from different regions of the disease lung and cultured at air-liquid interface. We analyzed cultures from large a
GSE205525,Transcriptome analysis of primary airway epithelial cells co-cultured with human lung fibroblasts,Homo sapiens,,24676,36,,,,,,rnaseq,"To determine the effects of fibroblast crosstalk on healthy airway epithelial cells, we performed RNA sequencing on isolates from airway epithelial cells co-cultured with control and idiopathic pulmon"
GSE205527,Regional idiopathic pulmonary fibrosis airway epithelial cultures; Primary airway epithelial cells co-cultured with huma,Homo sapiens,,24676,116,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE205613,Identification of Ephrin type-B receptor 4 (EphB4) as a critical mediator of tissue fibrosis [RNA-seq],Homo sapiens,,21697,16,,,,,,rnaseq,"Pulmonary fibrosis (PF) is a pathology associated with interstitial lung diseases (ILDs), including idiopathic pulmonary fibrosis (IPF). Fibrosis promotes continual secretion of extracellular matrix ("
GSE205965,LKB1 inhibition in alveolar epithelial cells induces fibroblast activation in pulmonary fibrosis [RNA-seq in 3D co-cultu,Homo sapiens,,24676,6,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is a chronic, progressive, irreversible, and lethal lung disease. The initiation of IPF involves microinjuries to and/or dysfunction of the alveolar epithelium, but"
GSE205969,LKB1 inhibition in alveolar epithelial cells induces fibroblast activation in pulmonary fibrosis [RNA-seq in 2D-cultured,Homo sapiens,,24676,6,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is a chronic, progressive, irreversible, and lethal lung disease. The initiation of IPF involves microinjuries to and/or dysfunction of the alveolar epithelium, but"
GSE205970,LKB1 inhibition in alveolar epithelial cells induces fibroblast activation in pulmonary fibrosis,Homo sapiens,,24676,12,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE207077,β-hydroxybutyrate restores T cell metabolism and function in severe COVID-19,Homo sapiens,,24676,28,,,,,,rnaseq,"Anorexia and fasting are host adaptations to acute infection, inducing a metabolic switch towards ketogenesis and the production of ketone bodies, including β-hydroxybutyrate (BHB). However, whether k"
GSE209929,Comprehensive gene expression of fibroblasts from idiopathic pulmonary fibrosis patients,Homo sapiens,,21185,6,,,,,,array,"To investigate the mechanisms underlying disease progression in idiopathic pulmonary fibrosis (IPF), we obtained lung fibroblasts from IPF patients from both non-fibrotic and fibrotic areas, and compa"
GSE210020,Nintedanib induces senolytic effect via STAT3 inhibition,Homo sapiens,,24676,40,,,,,,rnaseq,"Selective removal of senescent cells, or the concept of senolytic therapy, has been proposed to be a potent strategy for overcoming age-related diseases and even reversing aging. We found that ninteda"
GSE213001,Bulk tissue RNA sequencing from human donors with and without lung fibrosis,Homo sapiens,,21290,139,,,,,,rnaseq,Idiopathic pulmonary fibrosis (IPF) is a lethal fibrotic lung condition with an unpredictable disease course. The pathology of IPF starts in the lung bases such that a patient’s lung apices are compar
GSE213017,Lung endothelial cells regulate pulmonary fibrosis through FOXF1/R-Ras signaling (Human).,Homo sapiens,,24676,3,,,,,,rnaseq,Pulmonary fibrosis results from dysregulated repair of damaged tissue caused by persistent injury of lung epithelium. Multiple cell types in the lung are involved in the process of repair.  During lun
GSE213018,Lung endothelial cells regulate pulmonary fibrosis through FOXF1/R-Ras signaling,Homo sapiens; Mus musculus,,24247;17021;24676,7,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE21369,Gene expression profiles of interstitial lung disease (ILD) patients,Homo sapiens,,570,29,,,,,,array,The mechanisms and molecular pathways underlying interstitial lung diseases (ILDs) are poorly understood. Systems biology approaches were used to identify perturbed networks in these disease states to
GSE214085,Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,Homo sapiens,,18573;24676,23,,,,,,broad,"Multiomic single-cell analyses on human IPF lungs identify a global opening of TWIST1 and other E-box motifs in IPF myofibroblasts, with in vivo murine models confirming a critical regulatory function"
GSE214088,Epiregulin is a dendritic cell-derived EGFR ligand that maintains skin and lung fibrosis,Homo sapiens,,16791,12,,,,,,rnaseq,Immune cells are fundamental regulators of extracellular matrix (ECM) production by fibroblasts and have important roles in determining extent of fibrosis in response to inflammation. Although much is
GSE215274,Identification of Whole Blood Gene Expression Signature to Predict the Therapeutic Effect of Nintedanib in Idiopathic Pu,Homo sapiens,,18573,177,,,,,,rnaseq,We aimed to determine gene expression signature associated with the therapeutic effect of nintedanib in patients with IPF using whole blood cells. A total of 87 IPF patients treated with nintedanib we
GSE215841,First characterization of the transcriptome of lung fibroblasts of SSc patients and healthy donors of African ancestry.,Homo sapiens,,24676,23,,,,,,rnaseq,"Systemic sclerosis (SSc) is a rare and devastating connective tissue disorder that results in fibrosis and vascular abnormalities that affect the skin and visceral organs, and SSc-associated pulmonary"
GSE215948,"microRNA-33 Deficiency in Macrophages Enhances Autophagy, Improves Mitochondrial Homeostasis, and Protects Against Lung ",Homo sapiens,,24676,8,,,,,,rnaseq,To investigate the effects of miR-33 inhibition on gene expression profile of IPF lung in an ex vivo model
GSE215985,Expression data with olfactory neuronal cells from healthy controls and schizophrenia patients,Homo sapiens,,570,11,,,,,,array,"The use of biospecimens sampled from patients with active symptomatic manifestation has been regarded as indispensable for studying pathophysiological mechanisms in many medical conditions, such as se"
GSE220107,microRNA expression in fibroblastic foci within idiopathic pulmonary fibrosis lungs reveals novel disease relevant pathw,Homo sapiens,,15520,38,,,,,,broad,MicroRNAs (miRs) are a class of non-coding RNAs of ~22nt long that play an important role in regulating gene expression at a post-transcriptional level. Aberrant levels of miRs have been associated wi
GSE220254,RNA-seq profiling of ITPKC overexpression in normal human lung fibroblasts,Homo sapiens,,28038,5,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is characterized by pathogenic accumulation of scar tissue in the lung. Many of the processes implicated in fibrosis also occur following pneuomonectomy, but fibrot"
GSE220743,Single-cell RNA-Seq of fibroblasts derived from one patient with idiopathic pulmonary fibrosis.,Homo sapiens,,24676,2,,,,,,rnaseq,"Fibroblast appears to play a central role in the pathogenesis of IPF. We performed scRNA-seq of fibroblast from IPF patient, and evaluate its cell-cell interaction combined with the engrafted bronchia"
GSE222065,"Transcriptome sequencing of lncRNAs, circRNAs, miRNAs, mRNAs and interaction network constructing in acute exacerbation ",Homo sapiens,,30304,10,,,,,,array,"Background: Acute exacerbation of idiopathic pulmonary fibrosis (AE-IPF) is the most common cause of acute respiratory deterioration and death in IPF patients, with an elusive etiology and pathogenesi"
GSE222916,Non-canonical WNT5A controls the activation of latent TGFβ to drive fibroblast activation and tissue fibrosis,Homo sapiens,,24676,30,,,,,,rnaseq,"Transforming growth factor β (TGFβ) signaling is a core pathway of fibrosis, but the molecular regulation of the activation of latent TGFβ remains incompletely understood. Here, we demonstrate a cruci"
GSE224955,Maladaptive TGF-β Signals to the Alveolar Epithelium Drive Fibrosis after COVID-19 Infection,Homo sapiens,,18573,9,,,,,,broad,We have performed single cell RNA sequencing on explant tissue of post-acute sequelae SARS-CoV-2 infection  (PASC) patients. The study focused on epithelial cells (Epcam+) and immune cells (CD45+) cel
GSE225530,Differential expression of human BM-MSCs RNA-Seq and 21-day of chondrogenic differentiation from high-depth transcriptom,Homo sapiens,,11154,6,,,,,,rnaseq,"A comprehensive evaluation of differential gene expression on RNA-seq data of early and late passage hMSCs from three individuals, and undifferentiated and 21-day of chondrogenic differentiation hMSCs"
GSE225549,Small airway cell cultures from IPF and post-COVID lung fibrosis patients illustrate disease signatures and differential,Homo sapiens,,24676,18,,,,,,rnaseq,"In USA, approximately 50,000 people are diagnosed with idiopathic pulmonary fibrosis (IPF) annually; and almost 40,000 of them die. IPF is a condition in which an injury to the lung leads to accumulat"
GSE226249,Effect of pirfenidone on serum-stimulated human lung fibroblasts,Homo sapiens,,20301,27,,,,,,rnaseq,Idiopathic pulmonary fibrosis (IPF) is an incurable lung disease with a poor prognosis. Fibroblasts and myofibroblasts are the key cells in the fibrotic process. Pirfenidone was approved as an anti-fi
GSE227136,Cell type-specific and disease-associated eQTL in the human lung,Homo sapiens,,24676,127,,,,,,rnaseq,"Understanding how the genetic control of gene expression varies between cell types and contexts is key for our understanding of complex traits including disease. To this end, we leveraged single cell "
GSE228643,Gene expression profile at single cell level of human pulmonary arteries (PA) of 2 healthy and 3 pulmonary hypertension ,Homo sapiens,,20301,5,,,,,,rnaseq,"Dysfunction of pulmonary arterial endothelial cells (PAECs) is associated with the development and progression of vascular pathology. However, it remains unknown how pulmonary hypertension (PH) affect"
GSE231385,SDePER: a hybrid machine learning and regression method for cell-type deconvolution of spatial barcoding-based transcrip,Homo sapiens,,18573,1,,,,,,rnaseq,"Spatial barcoding-based transcriptomic (ST) data require cell type deconvolution for cellular-level downstream analysis. Here we present SDePER, a hybrid machine learning and regression method, to dec"
GSE231647,Aberrant differentiation of epithelial progenitors is accompanied by a hypoxic microenvironment in the paraquat-injured ,Homo sapiens,,20795,4,,,,,,rnaseq,"Paraquat is a toxic herbicide that can cause severe lung injury, leading to alveolar epithelial cell death, subsequent lung fibrosis and respiratory failure. Understanding the repair process following"
GSE231693,Evaluation of common profibrotic pathway across interstitial lung disease,Homo sapiens,,20301,60,,,,,,rnaseq,"Given that the etiology and clinical manifestations differ substantially between IPF and SSc-ILD, we sought to better understand the similarities and differences in various profibrotic pathways of int"
GSE231694,IPF and SSc-ILD,Homo sapiens,,20301,203,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE233280,Single-cell RNA sequencing reveals dysregulated fibroblast subclusters in prurigo nodularis,Homo sapiens,,24676,12,,,,,,rnaseq,"Prurigo nodularis (PN) is an intensely pruritic, inflammatory skin disease with a poorly understood pathogenesis. Thus, we performed single-cell transcriptomic profiling of 28,695 lesional and non-les"
GSE233844,Single-cell profiling reveals immune aberrations in progressive idiopathic pulmonary fibrosis,Homo sapiens,,20301,38,,,,,,rnaseq,Rationale: Changes in peripheral blood cell populations have been observed but not detailed at single-cell resolution in idiopathic pulmonary fibrosis (IPF).  Objectives: To provide an atlas of the ch
GSE234839,Resolution of Cystic Fibrosis Lung Disease and Inflammation Driven by Mucus Obstruction with Resolvin D1,Homo sapiens,,24106,6,,,,,,rnaseq,"Progressive lung disease remains the major cause of morbidity and mortality of people with cystic fibrosis (CF). CF lung disease evolves from mucus obstruction into non-resolving airway inflammation, "
GSE235829,Transcriptomic effect of LDOC1 and H2Bub1 in NSCLC,Homo sapiens,,23159,8,,,,,,array,"Despite declining incidence and improved survival rate, lung cancer therapeutic outcomes remain unsatisfactory and still is a leading cause of cancer death. Metastasis and treatment resistance hampers"
GSE239664,scRNA-seq analysis of biopsy tissue from Interstitial Lung Disease patients who took EGCG,Homo sapiens,,24676,10,,,,,,rnaseq,"Trihydroxyphenolic compounds, such as Epigallocatechin Gallate (EGCG), cause fibroblast-specific TGFb1 receptor kinase and lysyl oxidase like 2 (LOXL2) inhibition, reducing fibroblast activation and c"
GSE240441,"scRNAseq of human blood, tonsil, lung and small intestine innate lymphoid cells",Homo sapiens,,24676,18,,,,,,rnaseq,"Group 1 innate lymphoid cells (ILC1s) are cytotoxic and interferon gamma-producing lymphocytes lacking antigen-specific receptors, which include ILC1s and natural killer (NK) cells. In mice, ILC1s dif"
GSE240470,Expression data from lung resident mesenchymal stem cells from idiopathic pulmonary fibrosis patients and control subjec,Homo sapiens,,6244,8,,,,,,array,Lung resident mesenchymal stem cells exert a pivotal role in tissue repair. Idiopathic pulmonary fibrosis is characterized by an aberrant tissue repair. We performed a transcriptomic analysis to chara
GSE24206,Validated Gene Expression Signatures of Idiopathic Pulmonary Fibrosis,Homo sapiens,,570,23,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a chronic fibrosing lung disease that is difficult to diagnose and follows an unpredictable clinical course. The object of this study was to develop a predictive
GSE242408,Targeting the Epigenetic Regulator CBX5 Promotes Fibroblast Metabolic Reprogramming and Inhibits Lung Fibrosis,Homo sapiens,,18573,12,,,,,,rnaseq,Idiopathic pulmonary fibrosis (IPF) is characterized by the sustained activation of interstitial fibroblasts leading to excessive collagen deposition and progressive organ failure. Epigenetic and meta
GSE242706,A human alveolus-on-chip model for radiation induced lung injury,Homo sapiens,,15433,32,,,,,,rnaseq,"Acute exposure to high-dose gamma radiation can result in radiation-induced lung injury (RILI), characterized by acute pneumonitis and subsequent lung fibrosis. A microfluidic organ-on-a-chip lined by"
GSE242840,A human alveolus-on-chip model for studying radiation induced lung injury,Homo sapiens,,15433,24,,,,,,rnaseq,"Acute exposure to high-dose gamma radiation often results in radiation-induced lung injury (RILI), characterized by acute pneumonitis and subsequent lung fibrosis. A microfluidic organ-on-a-chip devic"
GSE243252,Hypoxia-inducible factor-2 (HIF2) regulates alveolar regeneration after repetitive injury,Homo sapiens; Mus musculus,,24247;24676,9,,,,,,rnaseq,"Idiopathic Pulmonary Fibrosis (IPF) is a progressive and often fatal chronic respiratory disease thought to result from repetitive injury and failed repair of the lung alveoli, and recent studies have"
GSE243753,Mechanoresponsive genomic enhancers potentiate the cellular response to matrix stiffness [ATAC-seq],Homo sapiens,,16791;24676,40,,,,,,broad,Epigenetic control of gene regulation and cell phenotype is influenced by changes in the mechanical microenvironment. Yet how mechanical forces precisely influence epigenetic state to regulate transcr
GSE243763,Mechanoresponsive genomic enhancers potentiate the cellular response to matrix stiffness [Bulk RNA-seq],Homo sapiens,,16791;24676,15,,,,,,rnaseq,Epigenetic control of gene regulation and cell phenotype is influenced by changes in the mechanical microenvironment. Yet how mechanical forces precisely influence epigenetic state to regulate transcr
GSE244305,Role of ANT1 in pulmonary fibrosis,Homo sapiens,,24676,12,,,,,,rnaseq,Crispr KO of ANT1 in Beas2b cells versus control cells were treated with media or bleomycin
GSE245721,Generation of expandable multipotential distal lung progenitors from human pluripotent stem cells that model idiopathic ,Homo sapiens,,24676,6,,,,,,rnaseq,Human lungs contain distal respiratory airways (RAs) that are absent in rodents and contain unique cell populations that are more abundant in patients with lung injury and idiopathic pulmonary fibrosi
GSE245722,Generation of expandable multipotential distal lung progenitors from human pluripotent stem cells that model idiopathic ,Homo sapiens,,24676,2,,,,,,rnaseq,"Human lungs contain unique cell populations in distal respiratory airways and terminal bronchioles (RA/TRB) that accumulate in patients with lung injury and idiopathic pulmonary fibrosis (IPF), a leth"
GSE245723,Generation of expandable multipotential distal lung progenitors from human pluripotent stem cells that model idiopathic ,Homo sapiens,,24676,9,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE245965,Integrated multiomic analysis identifies TRIP13 as a mediator of alveolar  epithelial type II cell dysfunction in idiopa,Homo sapiens,,11154,13,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is a lethal progressive lung disease urgently needing new therapies. Current treatments only delay disease progression, leaving lung transplant as the sole remainin"
GSE248082,Spatial deconvolution of tertiary lymphoid structure in human IPF lungs revealed novel CCL19-expressing mural cells,Homo sapiens,,24676,17,,,,,,broad,"Tertiary lymphoid structures (TLS) are commonly observed in human idiopathic pulmonary fibrosis (IPF) lungs. The specific immune and non-immune cells in the TLS of IPF patients, and the factors that d"
GSE248091,Transcriptional profiles of ageing human pulmonary blood vessel endothelial cells after their exposure to human serum fr,Homo sapiens,,24676,4,,,,,,rnaseq,Human pulmonary microvascular endothelial cells (HPMEC) from older individual are considered a homogenous population in culture. We used single cell RNA sequencing (scRNAseq) to analyse transcriptiona
GSE248485,Effects of Antifibrotic Drugs on Transcriptome of Peripheral Blood Mononuclear Cells in Idiopathic Pulmonary Fibrosis [I,Homo sapiens,,18573,18,,,,,,rnaseq,"Two antifibrotic drugs, pirfenidone (PFD) and nintedanib (NTD), are currently used to treat idiopathic pulmonary fibrosis (IPF). Peripheral blood mononuclear cells are immunocompetent cells that can p"
GSE249438,SARS-CoV-2 Infection Induces Pro-Fibrotic and Pro-Thrombotic Lipid-Laden Macrophage Expansion in Lungs,Homo sapiens,,24676,22,,,,,,rnaseq,"SARS-CoV-2 is the causative agent of COVID-19 and long COVID, two illnesses characterized by a dysregulated immune response. Macrophages have long been considered a key component of the dysregulated i"
GSE249513,High-dimensional comparison of monocytes and T cells in post-COVID and idiopathic pulmonary fibrosis,Homo sapiens,,30173;15520;28038;18573,21,,,,,,rnaseq,"Up to 30% of hospitalized COVID-19 patients experience persistent sequelae, including pulmonary fibrosis (PF). We examined COVID-19 survivors with impaired lung function and imaging worrisome for deve"
GSE250346,Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in p,Homo sapiens,,33762,45,,,,,,broad,"Large-scale changes in the structure and cellular makeup of the distal lung are a hallmark of pulmonary fibrosis (PF), but the spatial contexts that contribute to disease pathogenesis have remained un"
GSE250474,Endothelial H2S-AMPK dysfunction upregulates the angiocrine factor PAI-1 and contributes to lung fibrosis,Homo sapiens,,24676,6,,,,,,rnaseq,Dysfunction of the vascular angiocrine system is critically involved in regenerative defects and fibrosis of injured organs. Previous studies have identified various angiocrine factors and found that 
GSE252425,Attenuation of Fibroblast Activation and Fibrosis by Adropin in Systemic Sclerosis (SSc),Homo sapiens,,24676,9,,,,,,rnaseq,"Fibrotic diseases impose a major socioeconomic challenge on modern societies with limited treatment options. Adropin, a peptide hormone encoded by the energy-homeostasis-associated (ENHO) gene, is imp"
GSE252465,Early-stage idiopathic pulmonary fibrosis is characterized by bronchoalveolar accumulation of SPP1+ macrophages,Homo sapiens,,24676,16,,,,,,rnaseq,"Patients affected by idiopathic pulmonary fibrosis (IPF), a progressive chronic and eventually fatal lung disease with unknown causes, suffer from delayed diagnosis due to the lack of predictive marke"
GSE252686,MFSD7C protects hemolysis-induced lung impairments by inhibiting ferroptosis,Homo sapiens,,24676,8,,,,,,rnaseq,"Hemolysis drives susceptibility to lung injury and predicts poor outcomes in diseases, such as malaria and sickle cell disease (SCD). However, the underlying pathological mechanism remains unknown. He"
GSE253348,Tetrahedral framework nucleic acids loaded siCCR2 restrains M1 macrophage polarization to ameliorate pulmonary fibrosis ,Homo sapiens,,24676,1,,,,,,rnaseq,Idiopathic pulmonary fibrosis (IPF) is a chronic lethal disease in the absence of demonstrated efficacy for preventing progression. Although macrophage-mediated alveolitis is determined to participate
GSE255173,Spatially-resolved gene expression patterns of fibrosing ILDs [RNA-Seq],Homo sapiens,,24676,7,,,,,,rnaseq,Fibrosing interstitial lung diseases (ILDs) encompass a diverse range of scarring disorders that lead to progressive lung failure. Previous gene expression profiling studies focused on idiopathic pulm
